start,end,community_name,date_time,Participant_gender,appliances/percolator,appliances/hot_plate,appliances/cooking_coils,appliances/oven,appliances/electric_stove,appliances/epc,appliances/blender,appliances/deep_fryer,appliances/rice_cooker,appliances/microwave,appliances/juicer,appliances/popcorn_machine,appliances/ice_cream_machine,appliances/other,appliances/none,Sensor_Type,Sensor_ID,Record_the_wiring_status_of_the_socket,rent_own,own_home,tenancy_length,How_many_people_live_e_including_yourself,income,yaka_connection,yaka_on_premises,yaka_shared,yaka_shared_number,reason_no_yaka/meter_expensive,reason_no_yaka/electricity_expensive,reason_no_yaka/landlord_wont_allow,reason_no_yaka/someone_wont_allow,reason_no_yaka/not_my_property,reason_no_yaka/documents,reason_no_yaka/dont_understand_process,reason_no_yaka/waiting_for_connection,reason_no_yaka/dont_want_one,reason_no_yaka/other,reason_no_yaka_other,electricity_payment_to,electricity_payment_to/umeme,electricity_payment_to/landlord,electricity_payment_to/neighbor,electricity_payment_to/kamyufu,electricity_payment_to/other,electricity_payment_to/no_one,electricity_payment_to_other,connection_modality,cooking_with_electricity,cooking_with_electricity_yes_no,cooking_fuel_sources,cooking_fuel_sources/electricity,cooking_fuel_sources/charcoal,cooking_fuel_sources/firewood,cooking_fuel_sources/briquettes,cooking_fuel_sources/gas,cooking_fuel_sources/other,cooking_fuel_sources_other,electricity_used,electricity_fuel_likes,electricity_fuel_likes/cheap,electricity_fuel_likes/easy_to_get,electricity_fuel_likes/convenient,electricity_fuel_likes/good_taste,electricity_fuel_likes/traditional,electricity_fuel_likes/modern,electricity_fuel_likes/cooks_quickly,electricity_fuel_likes/cooks_right_amount,electricity_fuel_likes/good_smell,electricity_fuel_likes/safe,electricity_fuel_likes/clean,electricity_fuel_likes/familiarity,electricity_fuel_likes/sold_nearby,electricity_fuel_likes/right_quantities,electricity_fuel_likes/none,electricity_fuel_likes/other,electricity_fuel_likes_other,electricity_fuel_dislikes,electricity_fuel_dislikes/expensive,electricity_fuel_dislikes/sold_far,electricity_fuel_dislikes/poor_quality,electricity_fuel_dislikes/smoky,electricity_fuel_dislikes/not_convenient,electricity_fuel_dislikes/bad_taste,electricity_fuel_dislikes/cooks_slowly,electricity_fuel_dislikes/not_safe,electricity_fuel_dislikes/dirty,electricity_fuel_dislikes/wrong_quantities,electricity_fuel_dislikes/bad_smell,electricity_fuel_dislikes/unfamiliarity,electricity_fuel_dislikes/none,electricity_fuel_dislikes/other,electricity_fuel_dislikes_other,_id,_index
2023-03-30 09:21:57.462000+03:00,2023-03-30 09:37:18.105000+03:00,kyebando_kisalosalo,2023-03-30 09:21:00+03:00,female,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,rent,business_and_home,4,1,600,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal,0,1,0,0,0,0,,,cheap cooks_quickly convenient clean,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unpredictable. Can go off anytime ,229001986,1
2023-03-30 10:37:58.715000+03:00,2023-04-04 08:17:15.637000+03:00,kyebando_kisalosalo,2023-03-30 10:37:00+03:00,male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,convenient,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Unreliable,229001989,2
2023-03-30 11:23:04.780000+03:00,2023-03-30 11:28:32.674000+03:00,kyebando_kisalosalo,2023-03-30 11:23:00+03:00,female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,kosko,EM-073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dangerous ,229001993,3
2023-03-30 12:04:01.968000+03:00,2023-03-30 20:30:44.176000+03:00,kyebando_kisalosalo,2023-03-30 12:04:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal gas,0,1,0,0,1,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,expensive other,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Unreliable,229001996,4
2023-03-30 12:37:24.736000+03:00,2023-03-30 12:44:03.566000+03:00,kyebando_kisalosalo,2023-03-30 12:37:00+03:00,male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229002000,5
2023-03-31 09:43:15.602000+03:00,2023-03-31 09:48:28.680000+03:00,makerere_3,2023-03-31 09:43:00+03:00,female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"It can shock. So, she doesn't use over  the weekend ",229278832,6
2023-03-31 10:07:11.296000+03:00,2023-03-31 10:13:24.015000+03:00,makerere_3,2023-03-31 10:07:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cheap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,smoky other,0,0,0,1,0,0,0,0,0,0,0,0,0,1,It sometimes becomes too weak to cook,229278833,7
2023-03-31 10:53:51.684000+03:00,2023-03-31 11:02:01.280000+03:00,makerere_3,2023-03-31 10:53:00+03:00,female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,rent,home,4,8,200,no,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,They didn't get yaka from the government project,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal firewood,0,1,1,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fear for electrocution ,229278835,8
2023-03-31 11:51:27.648000+03:00,2023-03-31 12:02:50.689000+03:00,makerere_3,2023-03-31 11:51:00+03:00,male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,convenient,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,229278837,9
2023-03-31 12:03:00.583000+03:00,2023-03-31 12:10:15.799000+03:00,makerere_3,2023-03-31 12:03:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-064,NA,rent,home,2,1,600,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,other,0,0,0,0,0,1,None,,cheap cooks_quickly clean,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,not_safe,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,229278838,10
2023-03-31 15:02:26.807000+03:00,2023-03-31 15:08:23.333000+03:00,makerere_3,2023-03-31 15:02:00+03:00,male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,rent,home,7,1,100,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,other,0,0,0,0,0,1,None ,,cheap cooks_quickly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,229278840,11
2023-04-03 10:30:00.240000+03:00,2023-04-03 10:36:07.491000+03:00,kibuye_1,2023-04-03 10:30:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,em-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229831193,12
2023-04-03 11:02:29.152000+03:00,2023-04-03 11:07:59.504000+03:00,kibuye_1,2023-04-03 11:02:00+03:00,female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cheap cooks_quickly clean safe,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,229831197,13
2023-04-03 12:19:23.049000+03:00,2023-04-03 12:23:37.493000+03:00,kibuye_1,2023-04-03 12:19:00+03:00,female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229831202,14
2023-04-03 12:45:06.904000+03:00,2023-04-03 12:50:54.634000+03:00,kibuye_1,2023-04-03 12:45:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,clean,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Gets off a lot,229831207,15
2023-04-03 10:06:05.050000+03:00,2023-04-03 10:11:36.931000+03:00,kibuye_1,2023-04-03 10:06:00+03:00,female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229831224,16
2023-04-04 10:28:46.369000+03:00,2023-04-04 10:33:14.114000+03:00,banda,2023-04-04 10:28:00+03:00,female,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230125820,17
2023-04-04 11:03:34.150000+03:00,2023-04-04 11:12:37.622000+03:00,banda,2023-04-04 11:03:00+03:00,female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,kosko,EM-075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230125823,18
2023-04-04 11:31:18.190000+03:00,2023-04-04 11:39:48.120000+03:00,banda,2023-04-04 11:31:00+03:00,female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,kosko,EM-066,NA,rent,business_and_home,6,1,500,no,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal,0,1,0,0,0,0,,,cheap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Frequent outage,230125827,19
2023-04-04 12:16:16.093000+03:00,2023-04-04 12:21:02.375000+03:00,banda,2023-04-04 12:16:00+03:00,male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230125829,20
2023-04-05 09:44:33.073000+03:00,2023-04-05 09:53:05.848000+03:00,lubya,2023-04-05 09:44:00+03:00,female,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,other,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fear of electric shock ,230354784,21
2023-04-05 10:51:46.039000+03:00,2023-04-05 10:55:33.719000+03:00,lubya,2023-04-05 10:51:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kosko,EM-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,1,charcoal,0,1,0,0,0,0,,,cooks_quickly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,230354786,22
2023-04-18 10:21:39.108000+03:00,2023-04-18 20:40:15.367000+03:00,katwe_2,2023-04-18 10:21:00+03:00,male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a2ei,2.02086E+11,open_ground,rent,business_and_home,36,4,1000,no,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,,kamyufu,0,0,0,1,0,0,,e,yes,1,charcoal,0,1,0,0,0,0,,,convenient clean,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,232760721,23
